                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.0717,                 1.7358,                 1.1481,                0.33502,                0.46265,                0.43723,                0.29939,                 1.0776,                 1.6339,                 1.1431,              7.657e-05,              7.657e-05,              7.657e-05
                     73,                 1.0563,                 1.7634,                 1.1343,                0.34281,                0.46117,                0.44856,                 0.3204,                 1.0208,                  1.615,                 1.1222,              7.624e-05,              7.624e-05,              7.624e-05
                     74,                 1.0371,                  1.733,                 1.1576,                0.36932,                0.45652,                 0.4535,                0.35281,                0.83384,                 1.5675,                 1.0687,              7.591e-05,              7.591e-05,              7.591e-05
                     75,                 1.0142,                  1.741,                  1.156,                0.35692,                0.44004,                0.45445,                0.34938,                0.82034,                 1.5598,                 1.0738,              7.558e-05,              7.558e-05,              7.558e-05
                     76,                 1.0491,                   1.71,                 1.1521,                0.35793,                0.44896,                0.44674,                0.34748,                0.81732,                 1.5415,                 1.0572,              7.525e-05,              7.525e-05,              7.525e-05
                     77,                0.96607,                 1.6847,                 1.1247,                0.32347,                0.47342,                0.44411,                0.34286,                 0.8462,                 1.5421,                 1.0573,              7.492e-05,              7.492e-05,              7.492e-05
                     78,                 1.0783,                 1.6726,                 1.1787,                0.33745,                0.47451,                0.45062,                0.34929,                0.81385,                 1.5418,                 1.0488,              7.459e-05,              7.459e-05,              7.459e-05
                     79,                 1.0357,                 1.7003,                 1.1253,                0.35197,                0.49688,                0.45516,                0.34639,                0.82794,                 1.5415,                  1.067,              7.426e-05,              7.426e-05,              7.426e-05
                     80,                0.96242,                 1.6716,                 1.1158,                0.40248,                0.54337,                 0.4797,                0.37505,                0.80309,                 1.5068,                 1.0526,              7.393e-05,              7.393e-05,              7.393e-05
                     81,                 1.0031,                 1.6681,                 1.1379,                0.40525,                0.53641,                0.48797,                0.38554,                0.78961,                 1.4904,                 1.0483,               7.36e-05,               7.36e-05,               7.36e-05
                     82,                 1.0004,                 1.6159,                 1.1319,                0.41477,                 0.5495,                0.48948,                0.38485,                 0.8113,                 1.4945,                 1.0495,              7.327e-05,              7.327e-05,              7.327e-05
                     83,                0.97345,                 1.6356,                 1.1479,                0.37518,                0.53615,                0.48449,                0.36468,                0.94869,                 1.5378,                 1.0924,              7.294e-05,              7.294e-05,              7.294e-05
                     84,                  1.031,                 1.6386,                   1.15,                0.38177,                0.55357,                0.49289,                0.37541,                0.89099,                 1.5271,                 1.0751,              7.261e-05,              7.261e-05,              7.261e-05
                     85,                0.96805,                 1.5676,                 1.1118,                0.40552,                0.55664,                0.49157,                0.37233,                0.89759,                 1.5241,                 1.0785,              7.228e-05,              7.228e-05,              7.228e-05
                     86,                0.90762,                 1.5206,                 1.1041,                0.42959,                 0.5709,                0.50651,                0.39338,                0.84515,                 1.4728,                   1.06,              7.195e-05,              7.195e-05,              7.195e-05
                     87,                  1.054,                 1.6174,                 1.1713,                0.43839,                0.57113,                0.52767,                0.41759,                0.80077,                 1.4345,                 1.0447,              7.162e-05,              7.162e-05,              7.162e-05
                     88,                 0.9929,                 1.6633,                 1.1326,                0.42475,                0.57495,                 0.5287,                0.41261,                0.83883,                 1.4514,                 1.0513,              7.129e-05,              7.129e-05,              7.129e-05
                     89,                0.96963,                 1.5596,                  1.146,                0.42775,                0.50116,                 0.5445,                0.41802,                0.88905,                 1.4736,                 1.0651,              7.096e-05,              7.096e-05,              7.096e-05
                     90,                 1.0297,                 1.6495,                 1.1518,                 0.4531,                 0.5139,                0.56252,                0.44213,                0.80635,                 1.4331,                 1.0384,              7.063e-05,              7.063e-05,              7.063e-05
                     91,                 1.0134,                 1.5553,                 1.1543,                0.44475,                0.53561,                0.57815,                0.45122,                0.82896,                 1.4049,                 1.0431,               7.03e-05,               7.03e-05,               7.03e-05
                     92,                0.97073,                 1.5082,                 1.1069,                0.43851,                0.56624,                0.57304,                0.43439,                0.89362,                 1.4283,                 1.0638,              6.997e-05,              6.997e-05,              6.997e-05
                     93,                 0.9312,                 1.5727,                 1.0952,                0.44309,                 0.5902,                0.58085,                 0.4456,                0.87005,                 1.4273,                 1.0548,              6.964e-05,              6.964e-05,              6.964e-05
